0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197
268.0,80.0,429.0,268.0,98.0,261.0,546.0,48.0,642.0,291.0,334.0,671.0,204.0,494.0,905.0,360.0,453.0,768.0,211.0,458.0,414.0,795.0,1067.0,792.0,727.0,1059.0,438.0,1073.0,1025.0,895.0,1085.0,363.0,977.0,702.0,1421.0,555.0,1950.0,512.0,753.0,721.0,1656.0,766.0,1073.0,805.0,545.0,995.0,1859.0,452.0,2153.0,1051.0,502.0,1542.0,286.0,682.0,999.0,352.0,1105.0,447.0,730.0,453.0,1237.0,727.0,761.0,1647.0,777.0,660.0,1211.0,1642.0,691.0,881.0,1039.0,619.0,3172.0,1356.0,1412.0,371.0,811.0,988.0,1352.0,1926.0,273.0,796.0,154.0,553.0,452.0,124.0,454.0,363.0,376.0,282.0,105.0,1156.0,713.0,236.0,460.0,626.0,25.0,89.0,108.0,206.0,322.0,351.0,521.0,455.0,99.0,90.0,97.0,56.0,126.0,54.0,187.0,102.0,50.0,235.0,176.0,63.0,51.0,74.0,88.0,52.0,58.0,63.0,68.0,47.0,52.0,61.0,45.0,108.0,48.0,42.0,81.0,310.0,37.0,170.0,137.0,49.0,57.0,41.0,57.0,52.0,56.0,49.0,50.0,73.0,86.0,51.0,41.0,51.0,51.0,75.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304.0,68.0,872.0,130.0,114.0,452.0,669.0,85.0,584.0,994.0,443.0,621.0,428.0,1648.0,362.0,1457.0,186.0,1232.0,892.0,766.0,332.0,1603.0,389.0,956.0,607.0,881.0,444.0,786.0,877.0,1090.0,645.0,1010.0,951.0,1309.0,1375.0,757.0,1088.0,654.0,2138.0,1343.0,1009.0,883.0,2051.0,995.0,1988.0,970.0,2564.0,690.0,1341.0,518.0,2101.0,517.0,615.0,2433.0,615.0,1398.0,367.0,1161.0,1374.0,2067.0,850.0,909.0,1186.0,362.0,1537.0,185.0,693.0,1541.0,133.0,210.0,217.0,418.0,198.0,137.0,329.0,605.0,277.0,378.0,192.0,582.0,194.0,233.0,90.0,81.0,90.0,93.0,415.0,346.0,196.0,165.0,119.0,55.0,82.0,71.0,47.0,255.0,99.0,78.0,338.0,113.0,108.0,164.0,92.0,90.0,54.0,47.0,70.0,157.0,84.0,56.0,44.0,54.0,49.0,71.0,37.0,62.0,127.0,64.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282.0,133.0,126.0,357.0,289.0,398.0,76.0,554.0,262.0,181.0,933.0,460.0,528.0,575.0,781.0,510.0,508.0,291.0,310.0,388.0,938.0,725.0,1558.0,426.0,449.0,835.0,506.0,723.0,447.0,442.0,613.0,1562.0,313.0,804.0,598.0,964.0,1825.0,1102.0,975.0,445.0,911.0,792.0,1170.0,211.0,1034.0,1459.0,1082.0,748.0,1381.0,2745.0,1793.0,1001.0,674.0,2526.0,1763.0,1009.0,1126.0,3005.0,544.0,1191.0,917.0,3045.0,935.0,1431.0,962.0,754.0,1739.0,946.0,676.0,964.0,1072.0,1018.0,1176.0,894.0,1289.0,1507.0,516.0,1361.0,99.0,676.0,772.0,112.0,277.0,226.0,135.0,80.0,194.0,360.0,161.0,247.0,238.0,936.0,83.0,156.0,39.0,92.0,99.0,166.0,235.0,75.0,185.0,176.0,119.0,61.0,188.0,165.0,100.0,126.0,64.0,239.0,103.0,58.0,64.0,103.0,72.0,141.0,180.0,182.0,46.0,63.0,316.0,36.0,62.0,88.0,50.0,80.0,56.0,83.0,52.0,61.0,49.0,81.0,64.0,68.0,58.0,110.0,62.0,51.0,69.0,58.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254.0,113.0,58.0,85.0,188.0,72.0,139.0,116.0,99.0,250.0,354.0,26.0,297.0,186.0,408.0,135.0,710.0,605.0,213.0,945.0,836.0,116.0,492.0,213.0,624.0,576.0,307.0,472.0,185.0,568.0,713.0,476.0,959.0,1104.0,590.0,609.0,1141.0,329.0,417.0,869.0,445.0,923.0,1198.0,710.0,1429.0,1264.0,1599.0,404.0,1120.0,1352.0,681.0,2164.0,532.0,646.0,914.0,1519.0,593.0,559.0,2252.0,548.0,930.0,763.0,1542.0,1312.0,1274.0,999.0,864.0,889.0,1822.0,689.0,2695.0,1501.0,698.0,1348.0,291.0,1032.0,714.0,1370.0,545.0,2001.0,1006.0,1037.0,947.0,389.0,609.0,538.0,1571.0,413.0,670.0,225.0,83.0,236.0,425.0,244.0,356.0,276.0,223.0,185.0,161.0,575.0,245.0,344.0,180.0,40.0,75.0,82.0,84.0,94.0,102.0,167.0,53.0,92.0,110.0,84.0,38.0,91.0,84.0,78.0,95.0,80.0,70.0,259.0,168.0,79.0,102.0,102.0,118.0,122.0,114.0,83.0,75.0,77.0,83.0,72.0,96.0,84.0,82.0,65.0,95.0,57.0,174.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
376.0,320.0,282.0,719.0,110.0,835.0,782.0,537.0,383.0,767.0,580.0,986.0,491.0,473.0,350.0,341.0,216.0,360.0,342.0,364.0,260.0,565.0,313.0,446.0,367.0,262.0,606.0,1202.0,648.0,606.0,900.0,850.0,994.0,500.0,643.0,702.0,970.0,2450.0,826.0,560.0,1778.0,781.0,362.0,2019.0,400.0,1248.0,662.0,674.0,1196.0,437.0,1274.0,267.0,1034.0,336.0,997.0,1145.0,360.0,2227.0,1871.0,546.0,781.0,360.0,1668.0,1001.0,355.0,1988.0,1089.0,2189.0,694.0,578.0,1224.0,1212.0,590.0,1730.0,558.0,612.0,2048.0,628.0,1097.0,1239.0,820.0,826.0,621.0,230.0,251.0,63.0,113.0,91.0,164.0,292.0,604.0,249.0,191.0,305.0,312.0,299.0,68.0,432.0,107.0,273.0,277.0,302.0,164.0,105.0,41.0,123.0,174.0,87.0,202.0,488.0,66.0,51.0,100.0,170.0,89.0,127.0,46.0,92.0,92.0,169.0,226.0,292.0,60.0,68.0,104.0,71.0,52.0,67.0,45.0,78.0,58.0,92.0,75.0,115.0,70.0,324.0,83.0,54.0,71.0,40.0,38.0,74.0,57.0,62.0,53.0,73.0,101.0,53.0,66.0,72.0,40.0,72.0,105.0,56.0,47.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282.0,43.0,115.0,204.0,412.0,425.0,746.0,251.0,377.0,940.0,314.0,523.0,499.0,713.0,287.0,349.0,242.0,979.0,351.0,522.0,321.0,470.0,428.0,1596.0,840.0,281.0,844.0,821.0,2087.0,486.0,1554.0,515.0,777.0,977.0,559.0,387.0,1252.0,991.0,940.0,1073.0,441.0,861.0,1216.0,151.0,932.0,582.0,1189.0,737.0,1408.0,376.0,252.0,963.0,736.0,602.0,522.0,1158.0,999.0,1076.0,1006.0,456.0,719.0,856.0,824.0,257.0,890.0,1348.0,792.0,630.0,1215.0,532.0,736.0,1561.0,338.0,105.0,635.0,1141.0,102.0,349.0,1109.0,244.0,631.0,396.0,68.0,56.0,66.0,94.0,94.0,61.0,64.0,50.0,85.0,58.0,77.0,80.0,65.0,73.0,78.0,50.0,71.0,45.0,78.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
380.0,384.0,317.0,39.0,769.0,189.0,393.0,244.0,446.0,419.0,520.0,582.0,258.0,783.0,256.0,375.0,398.0,552.0,212.0,607.0,293.0,219.0,285.0,499.0,518.0,724.0,369.0,644.0,362.0,768.0,268.0,947.0,673.0,579.0,180.0,756.0,605.0,357.0,418.0,856.0,180.0,1032.0,351.0,1080.0,509.0,697.0,1020.0,684.0,1264.0,481.0,675.0,926.0,429.0,926.0,245.0,146.0,893.0,580.0,462.0,527.0,430.0,277.0,1116.0,1132.0,848.0,352.0,699.0,523.0,1028.0,435.0,792.0,587.0,714.0,1463.0,790.0,1060.0,331.0,1402.0,288.0,1748.0,342.0,676.0,1282.0,159.0,1030.0,383.0,571.0,538.0,454.0,461.0,100.0,102.0,74.0,148.0,267.0,150.0,140.0,73.0,242.0,171.0,51.0,193.0,79.0,105.0,123.0,64.0,118.0,57.0,38.0,65.0,100.0,104.0,62.0,51.0,70.0,70.0,86.0,95.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284.0,45.0,108.0,212.0,443.0,175.0,210.0,642.0,176.0,583.0,725.0,595.0,349.0,349.0,375.0,592.0,158.0,159.0,857.0,492.0,592.0,393.0,405.0,369.0,1071.0,445.0,321.0,989.0,452.0,564.0,593.0,146.0,457.0,1051.0,525.0,463.0,285.0,762.0,193.0,1280.0,913.0,723.0,671.0,414.0,253.0,913.0,511.0,452.0,291.0,1683.0,797.0,430.0,241.0,835.0,913.0,450.0,366.0,475.0,702.0,1276.0,515.0,719.0,353.0,573.0,300.0,800.0,436.0,1459.0,997.0,771.0,1230.0,1898.0,660.0,463.0,434.0,1304.0,457.0,1201.0,1432.0,815.0,253.0,285.0,420.0,60.0,290.0,249.0,355.0,170.0,175.0,311.0,440.0,370.0,769.0,424.0,60.0,108.0,75.0,166.0,659.0,250.0,189.0,102.0,66.0,157.0,64.0,149.0,93.0,95.0,73.0,329.0,96.0,42.0,322.0,42.0,96.0,183.0,78.0,99.0,49.0,296.0,109.0,151.0,69.0,101.0,34.0,129.0,101.0,47.0,62.0,72.0,59.0,65.0,271.0,128.0,92.0,44.0,48.0,72.0,160.0,229.0,77.0,50.0,41.0,89.0,58.0,53.0,238.0,60.0,99.0,40.0,85.0,113.0,34.0,88.0,35.0,71.0,79.0,58.0,57.0,106.0,28.0,130.0,77.0,269.0,148.0,125.0,88.0,72.0,92.0,59.0,43.0,45.0,115.0,79.0,53.0,65.0,63.0,240.0,150.0,33.0,106.0,33.0,65.0,98.0,47.0,155.0,106.0,69.0,74.0,47.0,60.0,77.0,91.0,53.0,107.0,88.0,95.0,47.0
413.0,142.0,222.0,166.0,201.0,171.0,427.0,440.0,212.0,667.0,490.0,829.0,1024.0,226.0,209.0,403.0,245.0,808.0,440.0,520.0,428.0,1702.0,588.0,631.0,595.0,369.0,429.0,823.0,1045.0,187.0,286.0,835.0,312.0,640.0,662.0,543.0,599.0,534.0,785.0,565.0,571.0,1267.0,438.0,694.0,1621.0,1343.0,675.0,985.0,690.0,1327.0,1074.0,1755.0,864.0,843.0,820.0,881.0,1313.0,1264.0,691.0,2557.0,1223.0,266.0,1186.0,457.0,1548.0,665.0,1250.0,991.0,3043.0,422.0,655.0,1552.0,2002.0,1616.0,917.0,451.0,1422.0,350.0,1897.0,347.0,1379.0,1305.0,1741.0,238.0,722.0,1657.0,731.0,1274.0,1279.0,882.0,1095.0,1210.0,308.0,933.0,1932.0,537.0,543.0,178.0,181.0,270.0,149.0,183.0,616.0,28.0,446.0,192.0,237.0,565.0,341.0,225.0,148.0,294.0,384.0,335.0,697.0,225.0,397.0,377.0,175.0,41.0,132.0,383.0,190.0,69.0,43.0,379.0,90.0,129.0,199.0,120.0,49.0,304.0,101.0,42.0,373.0,86.0,78.0,81.0,56.0,104.0,65.0,369.0,63.0,71.0,30.0,61.0,68.0,53.0,88.0,76.0,77.0,118.0,61.0,91.0,57.0,47.0,41.0,95.0,45.0,47.0,49.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
